"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-15 23:35:37",1760571337080,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.ico","GET","",-1,"whmsk-1760571336183-7664f305dadb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
ℹ️  Usando pymssql (ambiente serverless)
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3N9JC0SQMP36B85T6DQ9M","",-1
"2025-10-15 23:35:36",1760571336267,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.ico","GET","",500,"whmsk-1760571336183-7664f305dadb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",796,"iad1",75,2048,"","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3N9JC0SQMP36B85T6DQ9M","",1
"2025-10-15 23:35:35",1760571335988,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/docs","GET","",-1,"9xtxv-1760571335110-0230c0975236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",-1,"iad1",-1,-1,"ℹ️  Usando pymssql (ambiente serverless)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3N8G9HTEEPXJ7W1H929E0","",-1
"2025-10-15 23:35:35",1760571335177,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/docs","GET","",500,"9xtxv-1760571335110-0230c0975236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",781,"iad1",75,2048,"","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3N8G9HTEEPXJ7W1H929E0","",1
"2025-10-15 23:35:20",1760571320423,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.ico","GET","",-1,"sgdsn-1760571319539-c9e860b69b0a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",-1,"iad1",-1,-1,"ℹ️  Usando pymssql (ambiente serverless)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3MSA1PHFYDWWP87EA60Y1","",-1
"2025-10-15 23:35:19",1760571319617,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.ico","GET","",500,"sgdsn-1760571319539-c9e860b69b0a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",780,"iad1",75,2048,"","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3MSA1PHFYDWWP87EA60Y1","",1
"2025-10-15 23:35:19",1760571319241,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/","GET","",-1,"xhjjb-1760571316268-b92083ca4145","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",-1,"iad1",-1,-1,"ℹ️  Usando pymssql (ambiente serverless)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
ℹ️  Usando pymssql (ambiente serverless)
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3MP3HWTKFRJ0Y6KZV0SJN","",-1
"2025-10-15 23:35:16",1760571316337,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/","GET","",500,"xhjjb-1760571316268-b92083ca4145","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",795,"iad1",75,2048,"","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N3MP3HWTKFRJ0Y6KZV0SJN","",1
"2025-10-15 23:18:09",1760570289717,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.png","GET","",-1,"mg2xp-1760570288897-ade7f0e4688e","vercel-favicon/1.0","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",-1,"iad1",-1,-1,"ℹ️  Usando pymssql (ambiente serverless)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 242, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N2NAS8CSJHQ6AP4B2MXZ0K","",-1
"2025-10-15 23:18:08",1760570288936,"nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app/favicon.png","GET","",500,"mg2xp-1760570288897-ade7f0e4688e","vercel-favicon/1.0","error","production","","","lambda","/api/index.py","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","nexum-back-rig1ye3e9-abraao-santos-projects.vercel.app","dpl_GpoG9q36NWosoFRZjiiPnLYEPrez",760,"iad1",75,2048,"","prj_khrI4LFkatvnm0Wb3jRTiVXOd3d6","","","01K7N2NAS8CSJHQ6AP4B2MXZ0K","",1
